"referenceId","Bodega","SKU","Entry ID","Fecha de entrada","Fecha de vencimiento","Inv Entra","Inv Vendido","Inv en Transito","Inv Dañado","Inv Destruido","Inv Donado","Inv Mercadeo","Inv Ajustado","Inv Disponible","Precio Unidad","Vence en","Días de Inv","En Bodega"
"1476","Bandeja Galletas  Marble- Desing",Quick,7806810202053,2,,0,,,,,,,,,6723,,,
"1485","Doritos BBQ",Quick,7702189052957,2,,0,,,,,,,,,1345,,,
"1486","Bebidas con Pulpa de Fruta",Quick,7707273606648,2,,0,,,,,,,,,5250,,,
"1487","Arroz Orquidea Colombiana 5lb x 5",Quick,ORQUIDEA001,2,,0,,,,,,,,,29800,,,
"1488","Arroz Orquídea Colombiana 1lb x 25",Quick,ORQUIDEA002,2,,0,,,,,,,,,29800,,,
"1489","Arroz Orquidea Colombiana 10lb x 3",Quick,ORQUIDEA003,2,,0,,,,,,,,,12120,,,
"1491","Gaseosa Pool Cola",Quick,7709990654967,2,,0,,,,,,,,,479,,,
"1492","Gaseosa Pool Manzana",Quick,7709342033778,2,,0,,,,,,,,,479,,,
"1493","Gaseosa Pool Uva",Quick,7708984708716,2,,0,,,,,,,,,479,,,
"1494","Gaseosa Pool Colombia ",Quick,7709990654981,2,,0,,,,,,,,,479,,,
"1495","Gaseosa  Pool Naranja  ",Quick,7709836686213,2,,0,,,,,,,,,479,,,
"1496","Gaseosa Pool Limon",Quick,7709990654998,2,,0,,,,,,,,,479,,,
"1497","Gaseosa Pool Roja",Quick,7709990654929,2,,0,,,,,,,,,479,,,
"1498","Refresco Pool Salpicon ",Quick,7709990502046,2,,0,,,,,,,,,479,,,
"1503","Gaseosa Pool Cola",Quick,7709769790834,2,,0,,,,,,,,,838,,,
"1504","Gaseosa Pool Manzana",Quick,7709836686275,2,,0,,,,,,,,,838,,,
"1505","Gaseosa Pool Uva",Quick,7708984708747,2,,0,,,,,,,,,838,,,
"1506","Gaseosa Pool Colombia",Quick,7709769790827,2,,0,,,,,,,,,838,,,
"1507","Gaseosa Pool Naranja",Quick,7709342033730,2,,0,,,,,,,,,838,,,
"1508","Gaseosa Pool Limon",Quick,7709836686244,2,,0,,,,,,,,,838,,,
"1509","Gaseosa Pool Roja",Quick,7709836686282,2,,0,,,,,,,,,838,,,
"1512","Agua Pool Sin Gas",Quick,7708984708709,2,,0,,,,,,,,,376,,,
"1513","Agua Pool Con Gas",Quick,7709836686237,2,,0,,,,,,,,,376,,,
"1516","Hydratade Pool Tropical",Quick,7709117323660,2,,0,,,,,,,,,652,,,
